Copyright;ARTOTHEK_Bildnummer;Caption = Bildtitel;Keywords;Keywords II;Fulltext Keywords;Orientation;Künstler;Standort;Technik;
Christie's Images Ltd/ARTOTHEK;47585;'To South Africa in Seventeen Days'. Ein Werbeplakat für Union Castle Line.;tätig 1899-1919,Randall,Maurice,Christie's Images Ltd,Farblithographie;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,reisen,tourismus,schiffsreise,schiff,kreuzfahrtschiff,kreuzfahrt,union castle line,südafrika;1899-1919,Africa,Castle,Christie's,Days,ein,Farblithographie,Für,Images,in,Kreuzfahrt,Kreuzfahrtschiff,Line,Ltd,Maurice,Plakat,Plakatkunst,Poster,Randall,Reisen,Schiff,Schiffsreise,Seventeen,South,südafrika,suedafrika,tätig,to,Tourismus,Union,Werbeplakat,Werbung;Hochformat;Randall, Maurice;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47584;L'ete en Suisse. Ein Poster des Schweizer Fremdenverkehrsamts. 1921.;Emil,Christie's Images Ltd,1877-1936,Cardinaux,Farblithographie;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,reisen,tourismus,schweiz,alpen,berge,bergwanderung,wandern,wanderung,sonnig,wanderer,rast;1877-1936,1921,Alpen,Berge,Bergwanderung,Cardinaux,Christie's,des,ein,Emil,en,Farblithographie,Fremdenverkehrsamts,Images,L'ete,Ltd,Plakat,Plakatkunst,Poster,Rast,Reisen,Schweiz,Schweizer,Sonnenlicht,Sonnenschein,sonnig,Suisse,Tourismus,Wanderer,Wandern,Wanderung,Werbeplakat,Werbung;Hochformat;Cardinaux, Emil;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47583;Werbeplakat für Beaulieu-sur-Mer. 1925.;Viano,Farblithographie,tätig um 1925,Christie's Images Ltd;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,reisen,tourismus,urlaub,Côte d?Azur,frankreich,frau,fröhlich,glücklich,tennis,sonnig,sonnenschein,sommer,sommerlich;1925,Beaulieu-sur-Mer,Christie's,Côte,d?Azur,Farblithographie,Frankreich,franz?sisch,franzoesisch,Französisch,französische,Französischer,Französisches,Frau,Frauen,froehlich,fröhlich,Für,glücklich,gluecklich,Images,Ltd,Plakat,Plakatkunst,Poster,Reisen,Sommer,sommerlich,Sonnenlicht,Sonnenschein,sonnig,tätig,Tennis,Tourismus,Um,Urlaub,Viano,weiblich,Weibliche,Weiblicher,Weibliches,Werbeplakat,Werbung;Hochformat;Viano;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47582;Ein Werbeplakat für den Ford V8 Motor. 1933.;Anonym,Farblithographie,Christie's Images Ltd;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,ford,auto,automobil,mobilität,bogenschütze;1933,Anonym,Auto,Automobil,Bogenschütze,Christie's,den,ein,Farblithographie,Ford,Für,Images,Ltd,Mobilitaet,Mobilität,Motor,Plakat,Plakatkunst,Poster,V8,Werbeplakat,Werbung;Hochformat;Anonym;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47581;Werbeplakat für den Lago di Garda, Riva. Ca. 1926.;aktiv um 1920,Christie's Images Ltd,Antonio,Simeoni,Farblithographie;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,reisen,tourismus,urlaub,italien,gardasee,entspannung,erholung,boote,see;1920,1926,aktiv,Antonio,Boote,ca,Christie's,den,di,Entspannung,Erholung,Farblithographie,Für,Garda,Gardasee,Images,Italien,Italienisch,Italienische,Italienischer,Italienisches,Italiens,Lago,Ltd,Plakat,Plakatkunst,Poster,Reisen,Riva,See,Simeoni,Tourismus,Um,Urlaub,Werbeplakat,Werbung;Hochformat;Simeoni, Antonio;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47580;Taormina. 1927.;Borgoni,Mario,Christie's Images Ltd,1869-1936,Farblithographie;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,reisen,tourismusitalien,sizilien,mittelmeer,urlaub,meer,italien;1869-1936,1927,Borgoni,Christie's,Farblithographie,Images,Italien,Italienisch,Italienische,Italienischer,Italienisches,Italiens,Ltd,Mario,Meer,Mittelmeer,Plakat,Plakatkunst,Poster,Reisen,Sizilien,Taormina,tourismusitalien,Urlaub,Werbeplakat,Werbung;Hochformat;Borgoni, Mario;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47579;Charlie Chaplin - The Kid. 1921.;unbekannt,Unbekannt,Christie's Images Ltd;charlie chaplin,the kid,kinoplakat,film,filmplakat,kino,Poster,Plakat,Werbung,Werbeplakat,Plakatkunst;-,1921,Chaplin,charlie,Christie's,Film,filmplakat,filmposter,Images,Kid,Kino,kinoplakat,Ltd,Plakat,Plakatkunst,Poster,The,unbekannt,Werbeplakat,Werbung;Hochformat;Unbekannt;Christie's Images Ltd;;
Christie's Images Ltd/ARTOTHEK;47577;Ausstellung Secession. 1918.;unbekannt,Unbekannt,Farblithographie,Christie's Images Ltd;Poster,Plakat,Plakatkunst,secession,wien,künstlervereinigung,1918,ausstellung,druckgrafik,lithografie,österreich;1918,Ausstellung,Christie's,Druckgrafik,Farblithographie,Images,Künstlervereinigung,Lithografie,Lithographie,Ltd,Österreich,Plakat,Plakatkunst,Poster,Secession,Sezession,unbekannt,Wien;Hochformat;Unbekannt;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47576;'La Plume', mit Sarah Bernhardt. 1896.;Mucha,Alphonse,Christie's Images Ltd,Alfons,1860-1939,Farblithographie;alphonse,alfons,mucha,frau,porträt,plakat,plakatkunst,poster,druckgrafik,lithografie,jugendstil,österreichisch;1860-1939,1896,Alfons,Alphonse,Bernardt,Bernhardt,Bildnis,Christie's,Druckgrafik,Farblithographie,Frau,Frauen,Images,Jugendstil,La,Lithografie,Lithographie,Ltd,mit,Mucha,oesterreichisch,österreichisch,Plakat,Plakatkunst,Plume,Portraet,Portrait,Porträt,Poster,Sara,Sarah,weiblich,Weibliche,Weiblicher,Weibliches;Hochformat;Mucha, Alfons;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47480;Landschaft mit Fluss und zwei Figuren. 1918;Felix,Öl/Lwd.,Christie's Images Ltd,Landschaft,20. Jahrhundert,1865-1925,Vallotton,Félix;Felix Vallotton,Flusslandschaft,Figur,Natur,grün,Spaziergänger,Wanderer,Weg,Fluss,Flussbiegung,Baum,Wolken;1865-1925,1918,20,Baum,Christie's,Felix,Félix,Figur,Figuren,Fluss,Flussbiegung,Flusslandschaft,Gruen,grün,grüne,grünem,Grünen,grüner,grünes,Images,Jahrhundert,Landschaft,Ltd,mit,Natur,Öl/Lwd,Spaziergänger,und,Vallotton,Wanderer,Weg,Wolken,zwei;Querformat;Vallotton, Felix;Christie's Images Ltd;Öl/Lwd.;
Reni Hansen/ARTOTHEK;47474;Blick auf eine Moschee.;Aquarell,Städtisches Kunstmuseum,Dauerleihgabe aus Privatbesitz,August,Bonn,1887-1914,Macke;Macke,August Macke;1887-1914,Aquarell,auf,August,aus,Blick,Bonn,Dauerleihgabe,Eine,Kunstmuseum,Macke,Moschee,Privatbesitz,Städtisches;Hochformat;Macke, August;Bonn, Städtisches Kunstmuseum;Aquarell;
Christie's Images Ltd/ARTOTHEK;47394;Zwei sitzende Frauen, sich umarmend und mit geneigten Köpfen.;Jean,Dunand,Copyright © Christie's Images Ltd / Photo © Christie's Images Ltd,Farben auf lackiertem Holz,1877-1942,Christie's Images Ltd,Hans;Jean Dunand,Art déco,Art deco,frauen,frau,paar,zwei,freundschaft,zuneigung,umarmung,zuwendung,liebe;/,©,1877-1942,Art,auf,Christie's,COPYRIGHT,Deco,déco,Dunand,Farben,Frau,Frauen,Freundschaft,geneigten,Hans,Holz,Images,Jean,Köpfen,lackiertem,Liebe,Ltd,mit,Paar,Photo,sich,Sitzende,umarmend,Umarmung,und,weiblich,Weibliche,Weiblicher,Weibliches,Zuneigung,Zuwendung,zwei;Hochformat;Dunand, Jean;Christie's Images Ltd;Farben auf lackiertem Holz;
Christie's Images Ltd/ARTOTHEK;47393;Tänzelnde Pferde.;Jean,Holz,Dunand,Copyright © Christie's Images Ltd / Photo © Christie's Images Ltd,1877-1942,Christie's Images Ltd,Lackmalerei,Hans;Jean Dunand,Art déco,Art deco,pferde,gruppe.herde,galoppierend,wild;/,©,1877-1942,Art,Christie's,COPYRIGHT,Deco,déco,Dunand,galoppierend,Gruppe,Hans,Herde,Holz,Images,Jean,Lackmalerei,Ltd,Pferde,Photo,Taenzelnde,Tänzelnde,Wild;Querformat;Dunand, Jean;Christie's Images Ltd;Holz;
Christie's Images Ltd/ARTOTHEK;47359;Die Gedanken schweifen in die Ferne. 1905;Öl/Lwd.,Karl,Charles,Christie's Images Ltd,Pippich,Carl,20. Jahrhundert,1862-1932;Carl Pippich,1905,Frau,gedankenversunken,draußen,Schatten,Terrasse,weißes Kleid,Kopf aufgelegt,Stuhl,Topfpflanzen,Blumentöpfe,ausruhen,nachdenklich,müde,Regenrinne;1862-1932,1905,20,aufgelegt,Ausruhen,Blumentöpfe,Carl,Charles,Christie's,Die,draußen,Ferne,Frau,Frauen,Gedanken,gedankenversunken,Images,in,Jahrhundert,Karl,Kleid,Kopf,Ltd,Müde,nachdenklich,Öl/Lwd,Pippich,Regenrinne,Schatten,schweifen,Stuhl,Terrasse,Topfpflanzen,weiblich,Weibliche,Weiblicher,Weibliches,weiß,Weisse,weissem,weißer,Weißes;Querformat;Pippich, Karl;Christie's Images Ltd;Öl/Lwd.;
Christie's Images Ltd/ARTOTHEK;47349;Venedig bei Mondlicht. 1869;19. Jahrhundert,Werner,Aquarell,Bleistift,1808-1894,Christie's Images Ltd,Carl Friedrich Heinrich;Carl Friedrich Heinrich Werner,Venedig,Mond,Mondlicht,Vollmond,dunkel,Gondel,Kanal,Nacht,Mondschein,Licht,verlassen,Kuppel,Kirche;1808-1894,1869,19,Aquarell,bei,Bleistift,Carl,Charles,Christie's,Dunkel,Dunkle,dunkler,dunkles,Friedrich,Gondel,Heinrich,Images,Jahrhundert,Kanal,Karl,Kirche,Kuppel,Licht,Ltd,Mond,Mondlicht,Mondschein,Nacht,nachts,Sakralbau,Venedig,verlassen,Vollmond,Werner;Querformat;Werner, Carl Friedrich Heinrich;Christie's Images Ltd;Bleistift, Aquarell;
Christie's Images Ltd/ARTOTHEK;47324;Landschaft mit drei Bäumen (Paysage aux Trois Arbres). 1892;Paul,1848-1903,19. Jahrhundert,Öl/Lwd.,Christie's Images Ltd,Gauguin,Landschaft;Paul Gauguin,1892,Tahiti,Tropen,Südsee,exotisch,Baum,Bäume,Natur,Landschaft,Post-Impressionismus,sonnig,warm,Pflanzen,Palme,Frauen;1848-1903,1892,19,Arbres,aux,Baeume,Baum,Bäume,Bäumen,Christie's,Drei,exotisch,Frau,Frauen,Gauguin,Images,Jahrhundert,Landschaft,Ltd,mit,Nachimpressionismus,Natur,Öl/Lwd,Palme,Paul,Paysage,pflanzen,Postimpressionismus,Post-Impressionismus,Sonnenlicht,Sonnenschein,sonnig,Südsee,Tahiti,trois,Tropen,warm,weiblich,Weibliche,Weiblicher,Weibliches;Querformat;Gauguin, Paul;Christie's Images Ltd;Öl/Lwd.;
Christie's Images Ltd/ARTOTHEK;47256;Sonnenuntergang in Douarnenez. Um 1883;1841-1919,impressionistisch,19. Jahrhundert,Impressionismus,Öl/Lwd.,Christie's Images Ltd,Auguste,Pierre-Auguste,impressionismus,Landschaft,Renoir;Pierre-Auguste Renoir,Küste,Tageszeit,Douarnenez,Bretagne,Abend,Landzunge,Landspitze,niemand,Horizont,Wasser,Meer,Sonnenuntergang,Abendhimmel,Atmosphäre,malerisch;1841-1919,1883,19,Abend,Abendhimmel,abends,Atmosphäre,Auguste,Bretagne,Christie's,Douarnenez,Horizont,Images,impressionismus,impressionistisch,in,Jahrhundert,Kueste,Küste,Landschaft,Landspitze,Landzunge,Ltd,malerisch,Meer,niemand,Öl/Lwd,Pierre-Auguste,Renoir,Sonnenuntergang,Tageszeit,Um,Wasser;Querformat;Renoir, Auguste;Christie's Images Ltd;Öl/Lwd.;
Christie's Images Ltd/ARTOTHEK;47134;Sonnenuntergang über der Lagune von Venedig, die Kirche San Giorgio in Alga in der Ferne.;1811-1880,19. Jahrhundert,Christie's Images Ltd,Cooke,Öl/Papier/Lwd.,Edward William;Edward William Cooke,Venedig,Stadtansicht,Himmel,Wolken,Abend,Abendstimmung,Architektur,Kuppel,Kirche,Sonnenuntergang,Atmosphäre,San Giorgion in Alga,Lagune,Tageszeit,Sehenswürdigkeit,still,Ruhe,Licht;1811-1880,19,Abend,abends,Abendstimmung,Alga,Architektur,Atmosphäre,Christie's,Cooke,der,Die,Edward,Ferne,Giorgio,Giorgion,Himmel,Images,in,Jahrhundert,Kirche,Kuppel,Lagune,Licht,Ltd,Öl/Papier/Lwd,Ruhe,Sakralbau,San,Sehenswuerdigkeit,Sehenswürdigkeit,Sonnenuntergang,Stadtansicht,Still,Tageszeit,über,ueber,Venedig,von,William,Wolken;Querformat;Cooke, Edward William;Christie's Images Ltd;Öl/Papier/Lwd.;
Christie's Images Ltd/ARTOTHEK;47114;Mohnblumen (Blatt aus einem Album mit Blumendarstellungen).;Shouping,Tusche,17. Jahrhundert,Christie's Images Ltd,Yun,und Farben auf Seide,1633-1690;Yun Shouping,Mohn,Mohnblume,Mohnblumen,rot,weiß,seide,China,chinesisch,chinesische Kunst,Botanik,Blumen;1633-1690,17,Album,auf,aus,Blatt,Blume,Blumen,Blumendarstellungen,Botanik,China,chinesisch,chinesische,Chinesischer,Chinesisches,Christie's,einem,Farben,Images,Jahrhundert,Kunst,Ltd,mit,Mohn,Mohnblume,Mohnblumen,Rot,Rote,rotem,Roten,Roter,Rotes,Seide,Shouping,Tusche,und,Weiss,Weisse,weißem,weißer,Weißes,Yun;Hochformat;Shouping, Yun;Christie's Images Ltd;Tusche;
Christie's Images Ltd/ARTOTHEK;47101;St. Moritz. 1911;Walter,Kupfer,Poster,auf Leinen aufgelegt,Christie's Images Ltd,1876-1938,Plakat,Plakatkunst,20. Jahrhundert,Farblithographie;Walter Kupfer,gedruckt bei Burger & Sohn,St. Moritz,Schweiz,Skifahrer,Skisport,Winter,Berge,Tourismus,Werbung,Poster,Skiurlaub,Wintersport,Winterurlaub;&,1876-1938,1911,20,auf,aufgelegt,bei,Berge,Burger,Christie's,Farblithographie,gedruckt,Heilig,Heiliges,Hl.,Images,Jahrhundert,Kupfer,Leinen,Ltd,Moritz,Plakat,Plakatkunst,Poster,Schweiz,Skifahrer,Skisport,Skiurlaub,Sohn,St,st.,Tourismus,Walter,Werbung,Winter,Wintersport,Winterurlaub;Hochformat;Kupfer, Walter;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47100;Simplex Amsterdam. 1907;Hoeksema,Poster,Christie's Images Ltd,1879-1935,Plakat,Plakatkunst,20. Jahrhundert,Farblithographie,Daniel;Daniel Hoeksema,Dan,Senefelder,Fahrrad,Fahrradfahrer,von hinten,Reklame,Werbung,Plakat,rot,Hollandrad,Produkt,Transport,vintage;1879-1935,1907,20,Amsterdam,Christie's,Dan,Daniel,Fahrrad,Fahrradfahrer,Farblithographie,hinten,Hoeksema,Hollandrad,Images,Jahrhundert,Ltd,Plakat,Plakatkunst,Poster,Produkt,Reklame,Rot,Rote,rotem,Roten,Roter,Rotes,Senefelder,Simplex,Transport,vintage,von,Werbung;Keine Angabe;Hoeksema, Daniel;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47099;Sommer an der Côte d'Azur (L'été sur la Côte d'Azur). 1926;Poster,auf Leinen aufgelegt,Roger,Christie's Images Ltd,Plakat,Plakatkunst,20. Jahrhundert,1867-1943,Guillaume G.,Farblithographie;Guillaume Georges Roger,Lucien Serre & Cie,Werbung,Plakat,Poster,Sommer,Urlaub,Ferien,Ferienort,warm,Bucht,Segelboote,Segelschiffe,Mittelmeer,Cote d'Azur,Hafen,malerisch,idyllisch,Sommer,Tourismus,Vintage;&,1867-1943,1926,20,An,auf,aufgelegt,Bucht,Christie's,Cie,Cote,Côte,d'Azur,der,Farblithographie,Ferien,Ferienort,G,Georges,Georgios,Guillaume,Hafen,Idylle,idyllisch,Images,Jahrhundert,La,Leinen,l'été,Ltd,Lucien,malerisch,Mittelmeer,Plakat,Plakatkunst,Poster,Roger,Segelboote,Segelschiffe,Serre,Sommer,sur,Tourismus,Urlaub,vintage,warm,Werbung;Hochformat;Roger, Guillaume G.;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;46971;Rosafarbene Rosen.;Ramsey,Milne,Stilleben,19. Jahrhundert,1847-1915,Öl/Lwd.,Christie's Images Ltd,Stillleben;Milne Ramsey,amerikanisch,Blumen,Rosen,Topf,Kanne,rosa,Tisch,Tischdecke,vintage,Hochzeit,elegant,vornehm,rosafarben,rosane;1847-1915,19,Amerika,amerikanisch,Amerikanische,amerikanischer,amerikanisches,Blume,Blumen,Christie's,elegant,Elegante,Hochzeit,Images,Jahrhundert,Kanne,Ltd,Milne,Öl/Lwd,Ramsey,Rosa,rosafarben,rosafarbene,rosafarbig,rosane,Rosen,Stilleben,Stillleben,Tisch,Tischdecke,Topf,vintage,vornehm;Querformat;Ramsey, Milne;Christie's Images Ltd;Öl/Lwd.;
Christie's Images Ltd/ARTOTHEK;46970;Amants. 1895;19. Jahrhundert,Jugendstil,Mucha,Alphonse,Christie's Images Ltd,Alfons,1860-1939,Farblinolschnitt;Alphonse Mucha,1895,Poster,gedruckt bei Affiches Camis,Amants,Herr,Frauen,Menschenmenge,Dekadenz,dekadent,Abendkleider,Theatre de la Renaissance,Fest,Theaterplakat,Komödie;1860-1939,1895,19,Abendkleider,affiches,Alfons,Alphonse,amants,bei,Camis,Christie's,de,dekadent,Dekadenz,Farblinolschnitt,Fest,Frau,Frauen,gedruckt,Herr,Images,Jahrhundert,Jugendstil,Komödie,La,Ltd,Menschenmenge,Mucha,Plakat,Plakatkunst,Poster,renaissance,Theater,Theaterplakat,Theatre,Théatre,Théâtre,weiblich,Weibliche,Weiblicher,Weibliches;Querformat;Mucha, Alfons;Christie's Images Ltd;Farblinolschnitt;
Christie's Images Ltd/ARTOTHEK;46969;Summer Sales, Quickly Reached By Underground. 1925;Mary,Poster,Christie's Images Ltd,Plakat,Koop,Plakatkunst,20. Jahrhundert,Farblithographie;Mary Koop,1925,Poster,bunt,Werbung,Sommerschlussverkauf,Schlußverkauf,U-Bahn,Schirm,Schirme,Humor,humorvoll,überfüllt,London,Underground,Vintage;1925,20,bunt,By,Christie's,Farblithographie,Humor,humorvoll,Images,Jahrhundert,Koop,London,Ltd,Mary,Plakat,Plakatkunst,Poster,Quickly,Reached,Sales,Schirm,Schirme,Schlußverkauf,Sommerschlussverkauf,Summer,U-Bahn,überfüllt,ueberfuellt,Underground,vintage,Werbung;Hochformat;Koop, Mary;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;46967;Benares.;Mortimer Luddington,Menpes,Christie's Images Ltd,1855-1938,Öl/Karton,20. Jahrhundert;Mortimer Luddington Menpes,Benares,Indien,Häuser,blauer Himmel,draußen,Fassade,Fluss,Treppe,Stufen,Inder;1855-1938,20,Benares,blau,Blaue,blauem,blauer,Blaues,Christie's,draußen,Fassade,Fluss,Häuser,Himmel,Images,Inder,Indien,Jahrhundert,Ltd,Luddington,Menpes,Mortimer,Öl/Karton,Stufen,Treppe;Hochformat;Menpes, Mortimer Luddington;Christie's Images Ltd;Öl/Karton;
Christie's Images Ltd/ARTOTHEK;46965;Weiblicher Akt an Blumen riechend (Nu sens les Fleurs).;19. Jahrhundert,Lemmen,Christie's Images Ltd,Öl/Karton,20. Jahrhundert,1865-1916,Georges,Georgios;Georges Lemmen,belgisch,Brünette,Schleife,Haarschleife,Blumen,Blumenstrauß,impressionistisch,nach vorne beugen,Frau,Akt,nackt,stehen,stehend,Handtuch,sich abtrocknen,waschen,riechen,Geruch,Sinne,Sinn,Geruchssinn,Muster,Tischdecke;1865-1916,19,20,Abtrocknen,Akt,An,belgisch,beugen,Blume,Blumen,Blumenstrauß,bruenett,brünett,Brünette,Christie's,fleurs,Frau,Frauen,Georges,Georgios,Geruch,Geruchssinn,Haarschleife,Handtuch,Images,impressionismus,impressionistisch,Jahrhundert,Lemmen,Les,Ltd,Muster,nach,nackt,Nu,Öl/Karton,riechen,riechend,Schleife,Sens,sich,Sinn,Sinne,Stehen,stehend,stehende,Stehender,Stehendes,Tischdecke,vorne,Waschen,weiblich,Weibliche,Weiblicher,Weibliches;Hochformat;Lemmen, Georges;Christie's Images Ltd;Öl/Karton;
Christie's Images Ltd/ARTOTHEK;46961;Duomatic. Um 1955;Poster,Christie's Images Ltd,Bill,Plakat,Plakatkunst,20. Jahrhundert,Farblithographie,Wirtz;Bill Wirtz,1955,automatisch,Freizeit,Wochenende,Hobby,Zelt,Duomatic,Frau,winken,Poster,Werbung,Produkt,Produktwerbung,mühelos,sportlich,Logo,draußen,Transport,kurze Hosen,Shorts,sportlich;1955,20,automatisch,Bill,Christie's,draußen,Duomatic,Farblithographie,Frau,Frauen,Freizeit,Hobby,Hosen,Images,Jahrhundert,kurze,Logo,Ltd,muehelos,mühelos,Plakat,Plakatkunst,Poster,Produkt,Produktwerbung,Shorts,sportlich,Transport,Um,weiblich,Weibliche,Weiblicher,Weibliches,Werbung,winken,Wirtz,Wochenende,Zelt;Hochformat;Wirtz, Bill;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;46959;Die Wiedervereinigung. 1884;Ludwig,19. Jahrhundert,Öl/Lwd.,Christie's Images Ltd,1829-1910,Genre,Knaus;Ludwig Knaus,Paar,Ehepaar,Mann,Frau,Erleichterung,sich umarmen,wieder zu Hause,Rückkehr,wohlbehalten,Schürze,Dienstmädchen,Magd,Dienstmagd,Hof,Katze,Hund,deutsch,Eingang,Tor,Ehemann,Ehefrau,Liebe,sich freuen,Erleichterung,erleichtert,Rückkehr,Heimkehr,Wiedersehen,Wiedervereinigung,Soldat,Uniform,willkommen heißen;1829-1910,1884,19,Christie's,Deutsch,Deutsche,deutschem,deutschen,Deutscher,Deutsches,Deutschland,Die,Dienstmädchen,Dienstmagd,Ehefrau,Ehemann,Ehepaar,Eingang,erleichtert,Erleichterung,Frau,Frauen,freuen,Genre,Hause,Heimkehr,heißen,Hof,Hund,Images,Jahrhundert,Katze,Knaus,Liebe,Ltd,Ludwig,Magd,Mann,Öl/Lwd,Paar,Rückkehr,Schürze,sich,Soldat,Tor,umarmen,Uniform,weiblich,Weibliche,Weiblicher,Weibliches,Wieder,Wiedersehen,Wiedervereinigung,willkommen,wohlbehalten,zu;Querformat;Knaus, Ludwig;Christie's Images Ltd;Öl/Lwd.;
Christie's Images Ltd/ARTOTHEK;46958;Studie für ein Portrait von Kaiser Nikolaus II, Befehlhaber des Husaren-Regiments. Um 1908;Christie's Images Ltd,1869-1924,Alexander Vladimirovich,Makowsky,Bildnis,Porträt,Makovsky,Öl/Lwd.,Makowski,Geschichte,Portraet,20. Jahrhundert,Portrait;Alexander Vladimirovich Makovsky,Romanow,russisch,russische Monarchie,Husar,Militär,Oberbefehlshaber,Mann,Uniform,Helm,rot,Bart,Schnurrbart,Kaiser,Zar,Russland,Nikolaus II;1869-1924,1908,20,Alexander,Alexandr,Bart,Befehlhaber,Bildnis,Christie's,des,ein,Für,Geschichte,Helm,Husar,Husaren-Regiments,II,Images,Jahrhundert,Kaiser,Ltd,Makovsky,Makowski,Makowsky,Mann,Militär,Monarchie,Nikolaus,Oberbefehlshaber,Öl/Lwd,Portraet,Portrait,Porträt,Romanow,Rot,Rote,rotem,Roten,Roter,Rotes,russisch,russische,Russland,Schnurrbart,Studie,Um,Uniform,Vladimirovich,von,Zar;Hochformat;Makovsky, Alexander Vladimirovich;Christie's Images Ltd;Öl/Lwd.;
Christie's Images Ltd/ARTOTHEK;46942;Nizza. Um 1930;Poster,Christie's Images Ltd,Plakat,Eff d'Hey,Plakatkunst,20. Jahrhundert,Farblithographie;Eff d'Hey,1930,Poster,Werbung,Vintage,Plakat,Balkon,mondän,Nizza,Südfrankreich,Schrift,Auto,Bucht,Palmen,Sommer,sonnig,Reise,Glamour,Frau,Reichtum,farbenfroh,heiter,Tourismus,Nizza,zurücklehnen,Promenade,Uferpromenade;1930,20,Auto,Balkon,Bucht,Christie's,d'Hey,Eff,farbenfroh,Farblithographie,Frau,Frauen,Glamour,heiter,Images,Jahrhundert,Ltd,mondaen,mondän,Nizza,Palmen,Plakat,Plakatkunst,Poster,Promenade,Reichtum,Reise,Schrift,Sommer,Sonnenlicht,Sonnenschein,sonnig,Südfrankreich,Tourismus,Uferpromenade,Um,vintage,weiblich,Weibliche,Weiblicher,Weibliches,Werbung,zurücklehnen,zuruecklehnen;Hochformat;Eff d'Hey;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;46940;Ein Werbeplakat für die Côte d'Azur. 1926;Poster,Roger,Christie's Images Ltd,Plakat,Plakatkunst,20. Jahrhundert,1867-1943,Guillaume G.,Farblithographie;Guillaume G. Roger,1926,Lucien Serre & Co,Poster,Vintage,Werbung,bunt,Farben,Pergola,Wein,Südfrankreich,Cote d'Azur,Reise,Urlaub,Tourismus,Text,Sommer,Ruderboot,Küste,Mittelmeer,Mittelmeerküste,sonnig,Blick durch,malerisch,pittoresk;&,1867-1943,1926,20,Blick,bunt,Christie's,Co,Cote,Côte,d'Azur,Die,durch,ein,Farben,Farblithographie,Für,G,Guillaume,Images,Jahrhundert,Kueste,Küste,Ltd,Lucien,malerisch,Mittelmeer,Mittelmeerkueste,Mittelmeerküste,Pergola,pittoresk,Plakat,Plakatkunst,Poster,Reise,Roger,Ruderboot,Serre,Sommer,Sonnenlicht,Sonnenschein,sonnig,Südfrankreich,Text,Tourismus,Urlaub,vintage,Wein,Werbeplakat,Werbung;Hochformat;Roger, Guillaume G.;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;46939;Werbeplakat für Siena. 1925;Poster,Christie's Images Ltd,Unbekannter Künstler,Plakat,Plakatkunst,20. Jahrhundert,Farblithographie;Unbekannter Künstler,1925,Perspektive,Siena,Italien,Campanile,Glockenturm,Turm,Plakat,Poster,Werbung,Reise,Reiseziel,Tourismus,Architektur,windig,rot,Flagge,Fahne,Platz,Richter & Co.,sonnig,Vintage;&,1925,20,Architektur,Campanile,Christie's,Co,Fahne,Farblithographie,Flagge,Für,Glockenturm,Images,Italien,Italienisch,Italienische,Italienischer,Italienisches,Italiens,Jahrhundert,Künstler,Ltd,Perspektive,Plakat,Plakatkunst,Platz,Poster,Reise,Reiseziel,Richter,Rot,Rote,rotem,Roten,Roter,Rotes,Siena,Sonnenlicht,Sonnenschein,sonnig,Tourismus,Turm,Unbekannter,vintage,Werbeplakat,Werbung,windig;Hochformat;Unbekannter Künstler;Christie's Images Ltd;Farblithographie;
