Copyright;ARTOTHEK_Bildnummer;Caption = Bildtitel;Keywords;Keywords II;Fulltext Keywords;Orientation;Künstler;Standort;Technik;
-/ARTOTHEK;16762;Der zwölfjährige Jesus im Tempel. Aus dem Altar: Die sieben Schmerzen Mariae. 1495/96;Nadelholz,Dresden,Duerer,Gemäldegalerie,15. Jahrhundert,Albrecht,Dürer,1471-1528,Gemaeldegalerie;Christus,Neues Testament,Dialog,Affe,Dürer, Albrecht D;;;;;;
-/ARTOTHEK;16761;Die Flucht nach Ägypten. Aus dem Altar: Die sieben Schmerzen Mariae. 1495/96;Nadelholz,Dresden,Duerer,Gemäldegalerie,Albrecht,Dürer,1471-1528,Gemaeldegalerie;Flucht nach Ägypten,Haustier,Heilige Familie,Dürer, Albrecht Dürer,Renaissance,;;;;;;
-/ARTOTHEK;16760;Der Dresdener Altar. Um 1496;Dresden,Duerer,Gemäldegalerie,15. Jahrhundert,Albrecht,Dürer,1471-1528,Gemaeldegalerie,Tempera/Lwd.;Madonna,Maria,Heiliger Antonius,Heiliger Sebastian,Heilige,Dürer, Albrecht Dürer,Renaissance,Brüstung,Raum,R;;;;;;
-/ARTOTHEK;16758;Der Erzengel Michael. Um 1540 (Ausgeführt mit Battista Dossi (1493-1548));Dresden,Dosso (Giovanni de Luteri),um 1486/87-1542,Gemäldegalerie,Lwd.,Gemaeldegalerie,Dossi,16. Jahrhundert;Dossi, Dosso Dossi,Battista Dossi,Giovanni de Luteri,G;;;;;;
-/ARTOTHEK;16753;Die Beichte.;Dresden,18. Jahrhundert,Gemäldegalerie,17. Jahrhundert,1665-1747,Lwd.,Crespi,Gemaeldegalerie,Giuseppe (Lo Spagnuolo);Religiös,Klerus,Interieur,Beichtstuhl,beichten,Crespi,Giuseppe(Lo Spagnuolo) 1665-1747;1665-1747,17,18,Beic;;;;;
-/ARTOTHEK;16752;Die hl. Familie.;Pappelholz,Credi,um 1459-1537,Lorenzo di,Gemaeldegalerie,Bildnis,Porträt,Dresden,Gemäldegalerie,Portraet,Portrait,16. Jahrhundert;Credi, Lorenzo di Credi,1459-1537,Christi geburt,Heilige Familie,Maria,Jesuskind,Ähren,anb;;;;;;
-/ARTOTHEK;16751;Adam. 1531 (siehe auch Bildnummer 16500);Lindenholz,Dresden,Renaissance,Gemäldegalerie,Cranach d.Ä.,renaissance,1472-1553,Lucas,Gemaeldegalerie,16. Jahrhundert;Lucas Cranach der Ältere,1472-1553,Adam,Mann,Apfel,Paradis;1472-1553,1531,16,;;;;;
-/ARTOTHEK;16750;Bildnis der Herzogin Katharina von Mecklenburg. 1514 (siehe auch Bildnummer 16749);Holz auf Leinwald übertragen,renaissance,Gemaeldegalerie,Bildnis,Porträt,Dresden,Renaissance,Gemäldegalerie,Cranach d.Ä.,1472-1553,Portraet,Lucas,Portrait;;;;;;;
-/ARTOTHEK;16749;Herzog Heinrich der Fromme. 1514 (siehe auch Bildnummer 16750);renaissance,Gemaeldegalerie,Lindenholz/Lwd.,Bildnis,Porträt,Dresden,Renaissance,Gemäldegalerie,Cranach d.Ä.,1472-1553,Portraet,Lucas,Portrait,16. Jahrhundert;Cranach d.Ä., Lu;;;;;;
-/ARTOTHEK;16745;Die Madonna des hl. Franziskus. 1514/15;Dresden,Pappelholz,Gemäldegalerie,Correggio (Antonio Allegri),1489-1534,Gemaeldegalerie,16. Jahrhundert;Correggio,Antonio Allegri,1489-1534,Madonna,Heiliger Franziskus,Johannes der Täufer,Heilige,T;;;;;;
-/ARTOTHEK;16742;Mariae Tempelgang. Vor 1500;Cima da Conegliano,Dresden,Pappelholz,um 1459-1517/18,Gemäldegalerie,Gemaeldegalerie,16. Jahrhundert;Cima da Conegliano,Giovanni Battista Cima,um 1459-1517/18,Treppe,Antike,Maria,Mariä,apokryph,Kind,Mädchen,Te;;;;;;
-/ARTOTHEK;16740;Thronende Madonna mit dem hl. Matthäus. 1588;Annibale,Dresden,Gemäldegalerie,Carracci,Lwd.,Gemaeldegalerie,1560-1609,16. Jahrhundert;Carracci, Annibale Carracci,1560-1609,Engel,Putten,Madonna,Maria,sacra conversazione,Evangelist Matthäus;;;;;;
-/ARTOTHEK;16734;Maria mit dem Jesuskind und dem jungen Johannes d.T. Um 1490;Pappelholz,15. Jahrhundert,1444/45-1510,renaissance,Gemaeldegalerie,Sandro,Dresden,Renaissance,Gemäldegalerie,Botticelli;Botticelli, Sandro Botticelli,1444/45-1510,Madonna,Mari;;;;;;
-/ARTOTHEK;16732;Stilleben mit Früchtekorb. 1918/19;Ernst Ludwig,Henze & Ketterer Bern,Öl/Lwd.,Kirchner,1880-1938,20. Jahrhundert;Obststillleben,Blumenstillleben,Kirchner, Ernst Ludwig Kirchner,Expressionsimus,Blumentopf,Schale,Schüssel,Obst,grün;&,1880-;;;;;
-/ARTOTHEK;16730;Drei Badende am Strand. 1913/20;expressionistische,Henze & Ketterer Bern,Ernst Ludwig,expressionistisch,Kirchner,1880-1938,Expressionismus,expressionistisches,20. Jahrhundert;Weibliche Akte,Kirchner, Ernst Ludwig 1880-1938;&,1880-1938,19;;;;;
-/ARTOTHEK;16722;Vier Szenen aus d.Leben des Hl. Zenobius. Um 1500;Dresden,Pappelholz,Gemäldegalerie,1444/45-1510,Gemaeldegalerie,Botticelli,Sandro;Heiliger Zenobius,Heilige,Stadtszenerien,Religiös,Botticelli, Sandro 1444/45-1510;1444/45-1510,1500,aus,Bo;;;;;
-/ARTOTHEK;16721;Die Ruhe auf der Flucht nach Ägypten. 1644;Dresden,Gemäldegalerie,17. Jahrhundert,Ferdinand,Barock,Gemaeldegalerie,1616-1680,Bol;Bol, Ferdinand Bol,1616-1680,Flucht nach Ägypten,heilige Familie,stillen,Korb,Rast,Maria,Joseph,Josef,Christ;;;;;;
-/ARTOTHEK;16720;Inneres der St.Bavo-Kirche in Haarlem. 1665.;Dresden,Eichenholz,Job Adriaensz,Gemäldegalerie,1630-1693,Gemaeldegalerie,Berckheyde;Interieurs, Sakrale,Niederlande,Berckheyde, Job Adriaensz 1630-1693;1630-1693,1665,Adriaensz,Bavo-Kirche,Be;;;;;
-/ARTOTHEK;16719;Straße in Haarlem. Um 1680;1638-1698,Dresden,Eichenholz,Gerrit Adriaensz,Gemäldegalerie,17. Jahrhundert,Barock,Gemaeldegalerie,Berckheyde;Berckheyde,Gerrit Adriaensz Berckheyde,1638-1698,Niederlande,Stadtansicht,Holland,Kirche,Fassade,Pe;;;;;;
-/ARTOTHEK;16718;Dresden vom rechten Elbufer oberhalb der Augustusbrücke. 1747;Dresden,Bellotto,18. Jahrhundert,Gemäldegalerie,Bernardo (Canaletto),1721-1780,Gemaeldegalerie;Sachsen,Fluss,Elbe,Stadtansicht,Bellotto, Bernardo,Canaletto,Panorama,Vedute;172;;;;;
-/ARTOTHEK;16717;Galathea, auf einem Delphin stehend.;Dresden,Pappelholz,Gemäldegalerie,Gemaeldegalerie,Barbari,Jacopo de,16. Jahrhundert,1440/50-1515;Barbari, Jacopo de Barbari,1440/50-1515,Mythologie,Fisch,Weiblicher Akt,Galathea,Galatea,Galateia,Nymph;;;;;;
-/ARTOTHEK;16716;Mucius Scaevola. 1531;Dresden,Jean,Gemäldegalerie,Holz,Baldung (Grien),Gemaeldegalerie,Hans,1484/85-1545;Antike,Baldung (Grien), Hans 1484/85-1545;1484/85-1545,1531,Antike,Antiker,Antikes,Baldung,Dresden,Gemaeldegalerie,Gemäldegalerie,Gr;;;;;
-/ARTOTHEK;16713;Diana mit neun Nymphen und Aktäon. Um 1625/1630;Dresden,Francesco,Gemäldegalerie,17. Jahrhundert,Holz/Lwd.,Gemaeldegalerie,Albani,1578-1660;Albani, Francesco Albani,1578-1660,Mythologie,Nixen,Schleier,Diana;1578-1660,1625/1630,17,Aktäon,;;;;;
-/ARTOTHEK;16707;Am Meer bei Villerville. 1882.;1848-1894,Galerie Koller,Caillebotte,Gustave,Zürich;Caillebotte,Gustave Caillebotte,Landschaft;1848-1894,1882,am,bei,Caillebotte,Galerie,Gustave,Koller,Landschaft,Meer,Villerville,Zürich;;;;;
Paolo Tosi/ARTOTHEK;16687;Tobias und die drei Engel.;Florenz,Botticini,Galleria degli Uffizi,Francesco,Foto: Paolo Tosi - Artothek,um 1466-1497;Italien,15. Jahrhundert,Francesco Botticini,italienisch,italienische Renaissance,Renaissance,Frührenaissance,Tobias,Engel,Rüstung,Schwert,Lilie,Landschaft,Stein,Fluss,Erzengel,Raphael,Gabriel,Michael,Panorama,Junge,Knabe,Jüngling,Stiefel,Schuhe,Frisur;-,1466-1497,15,Artothek,Botticini,degli,Die,Drei,Engel,Erzengel,Florenz,Fluss,Foto:,Francesco,Frisur,Fruehrenaissance,Frührenaissance,Gabriel,Galleria,Italien,Italienisch,Italienische,Italienischer,Italienisches,Italiens,Jahrhundert,Jung,Junge,jungen,jung;Querformat;Botticini, Francesco;Florenz, Galleria degli Uffizi;;
ALINARI/ARTOTHEK;16686;Bildnis einer Dame mit Kappe (La bella Simonetta).;Öl/Holz,Florenz,1444/45-1510,? ALINARI - ARTOTHEK,Palazzo Pitti,Botticelli,Sandro;Portrait,Bildnis,15. Jahrhundert,Sandro Botticelli,Profil,Dame,Renaissance,Kappe,Haube,Frau,braun;-,?,1444/45-1510,15,Alinari,Artothek,Bella,Bildnis,Botticelli,braues,Braun,braune,braunem,brauner,Dame,einer,Florenz,Frau,Frauen,Haube,Jahrhundert,Kappe,La,mit,Öl/Holz,Palazzo,Pitti,Portraet,Portrait,Porträt,Profil,renaissance,Sandro,Simonetta,weiblich,We;Hochformat;Botticelli, Sandro;Florenz, Palazzo Pitti;Öl/Holz;
